Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x9442d23b
SPS30 serial number: 4484E7F7A263A28F
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:08;1.640706182e+00;1.734984636e+00;1.734982014e+00;1.734982014e+00;1.134002018e+01;1.305093670e+01;1.309422207e+01;1.309963799e+01;1.310284710e+01;5.336258411e-01;1.423843930e+01;9.556354274e+04;3.076366826e+01
2021-03-15T10:33:08;1.341307402e+00;1.630374789e+00;1.801942706e+00;1.836258173e+00;8.829403877e+00;1.045144558e+01;1.069100475e+01;1.073601151e+01;1.074453068e+01;6.480935216e-01;1.342619704e+01;9.556320780e+04;3.199344895e+01
2021-03-15T10:38:08;1.037713885e+00;1.097343087e+00;1.097341418e+00;1.097341418e+00;7.172336102e+00;8.254456520e+00;8.281833649e+00;8.285259247e+00;8.287289619e+00;5.389056206e-01;1.302839288e+01;9.555334013e+04;3.147631332e+01
2021-03-15T10:43:08;9.245771766e-01;9.777053595e-01;9.777038693e-01;9.777038693e-01;6.390372753e+00;7.354515076e+00;7.378907681e+00;7.381959438e+00;7.383768082e+00;5.191699266e-01;1.248797043e+01;9.554021105e+04;3.242890677e+01
2021-03-15T10:48:08;1.128283501e+00;1.193117023e+00;1.193115234e+00;1.193115234e+00;7.798323154e+00;8.974888802e+00;9.004655838e+00;9.008380890e+00;9.010587692e+00;5.330108404e-01;1.112062021e+01;9.554472583e+04;3.294978746e+01
2021-03-15T10:53:08;1.544596076e+00;1.809220076e+00;1.951550364e+00;1.980018497e+00;1.030966377e+01;1.210563469e+01;1.231576538e+01;1.235452747e+01;1.236244106e+01;6.353965402e-01;1.102213086e+01;9.554940549e+04;3.406968542e+01
2021-03-15T10:58:08;1.243031263e+00;1.400264025e+00;1.469706535e+00;1.483595014e+00;8.412815094e+00;9.799435616e+00;9.914870262e+00;9.935399055e+00;9.940216064e+00;6.616246104e-01;1.103012512e+01;9.553850858e+04;3.452729695e+01
2021-03-15T11:03:08;1.488738298e+00;1.962212682e+00;2.276169538e+00;2.338961363e+00;9.482181549e+00;1.144331264e+01;1.185620689e+01;1.193537807e+01;1.194907951e+01;7.466673255e-01;1.077974521e+01;9.554034776e+04;3.637082079e+01
2021-03-15T11:08:08;1.796630979e+00;1.899869204e+00;1.899866343e+00;1.899866343e+00;1.241772079e+01;1.429123497e+01;1.433863354e+01;1.434456444e+01;1.434807873e+01;5.137761831e-01;1.065471539e+01;9.554015389e+04;3.568315256e+01
2021-03-15T11:13:08;1.201834083e+00;1.270893931e+00;1.270892024e+00;1.270892024e+00;8.306680679e+00;9.559944153e+00;9.591651917e+00;9.595619202e+00;9.597970009e+00;5.046406984e-01;1.025372581e+01;9.553347387e+04;3.560552961e+01
2021-03-15T11:18:08;1.290775418e+00;1.364946127e+00;1.364943981e+00;1.364943981e+00;8.921414375e+00;1.026742554e+01;1.030147839e+01;1.030573940e+01;1.030826473e+01;4.275697470e-01;9.862011243e+00;9.553321548e+04;3.536040036e+01
2021-03-15T11:23:08;1.668375969e+00;2.456916094e+00;3.017507076e+00;3.129624367e+00;1.008944702e+01;1.255895233e+01;1.327008438e+01;1.340818119e+01;1.343071079e+01;8.275126219e-01;9.380764249e+00;9.553342986e+04;3.609727770e+01
2021-03-15T11:28:08;1.135844827e+00;1.201112866e+00;1.201111078e+00;1.201111078e+00;7.850584984e+00;9.035035133e+00;9.065001488e+00;9.068751335e+00;9.070973396e+00;4.455469847e-01;9.240067940e+00;9.554314606e+04;3.612707438e+01
2021-03-15T11:33:08;1.451247573e+00;2.133969307e+00;2.619017124e+00;2.716027498e+00;8.783021927e+00;1.092777061e+01;1.154327679e+01;1.166278934e+01;1.168229771e+01;8.001484275e-01;9.002803299e+00;9.553847505e+04;3.587505761e+01
2021-03-15T11:38:08;1.195829272e+00;1.264544129e+00;1.264542222e+00;1.264542222e+00;8.265177727e+00;9.512179375e+00;9.543728828e+00;9.547676086e+00;9.550015450e+00;4.784657955e-01;8.865305209e+00;9.554364866e+04;3.587604915e+01
2021-03-15T11:43:07;1.383200288e+00;1.462681890e+00;1.462679744e+00;1.462679744e+00;9.560224533e+00;1.100261593e+01;1.103910732e+01;1.104367352e+01;1.104637909e+01;4.096592665e-01;8.720452797e+00;9.553729076e+04;3.712682611e+01
2021-03-15T11:48:07;2.000715971e+00;2.539816618e+00;2.883076429e+00;2.951727152e+00;1.294543743e+01;1.547860050e+01;1.593987179e+01;1.602766418e+01;1.604337311e+01;7.490693331e-01;8.923182286e+00;9.553876106e+04;3.671115730e+01
2021-03-15T11:53:07;1.512067080e+00;2.058488607e+00;2.430398703e+00;2.504780293e+00;9.494370461e+00;1.155526733e+01;1.203774166e+01;1.213069630e+01;1.214643478e+01;7.871795297e-01;8.891845521e+00;9.553186082e+04;3.620430610e+01
2021-03-15T11:58:07;1.401348352e+00;1.685078144e+00;1.849532962e+00;1.882424355e+00;9.262680054e+00;1.093807411e+01;1.117075253e+01;1.121427536e+01;1.122266865e+01;6.627204418e-01;9.044372530e+00;9.552923141e+04;3.798393573e+01
2021-03-15T12:03:07;1.498062611e+00;1.584144354e+00;1.584141970e+00;1.584141970e+00;1.035411453e+01;1.191628265e+01;1.195580578e+01;1.196075058e+01;1.196368122e+01;5.350149870e-01;9.058122357e+00;9.552105205e+04;3.718300388e+01
2021-03-15T12:08:07;1.289187431e+00;1.363266826e+00;1.363264799e+00;1.363264799e+00;8.910438538e+00;1.025479317e+01;1.028880501e+01;1.029306126e+01;1.029558277e+01;4.538773298e-01;9.037017973e+00;9.550767951e+04;3.874430886e+01
2021-03-15T12:13:07;1.488344193e+00;1.767858863e+00;1.924857616e+00;1.956257105e+00;9.883145332e+00;1.163955116e+01;1.186565113e+01;1.190769768e+01;1.191600513e+01;5.722348690e-01;9.077627929e+00;9.551169976e+04;3.747104931e+01
2021-03-15T12:18:07;9.885137081e-01;1.045315742e+00;1.045314193e+00;1.045314193e+00;6.832280636e+00;7.863095284e+00;7.889174938e+00;7.892437935e+00;7.894371510e+00;4.650034904e-01;9.026465782e+00;9.550455083e+04;3.694111982e+01
2021-03-15T12:23:07;1.488891721e+00;1.574446678e+00;1.574444175e+00;1.574444175e+00;1.029072857e+01;1.184333420e+01;1.188261509e+01;1.188752937e+01;1.189044189e+01;5.251947641e-01;9.251259684e+00;9.549638661e+04;3.915328488e+01
2021-03-15T12:28:07;1.275471091e+00;1.348762393e+00;1.348760366e+00;1.348760366e+00;8.815635681e+00;1.014568806e+01;1.017933750e+01;1.018354797e+01;1.018604279e+01;5.128068924e-01;9.211289176e+00;9.549456456e+04;3.645017070e+01
2021-03-15T12:33:07;1.822829127e+00;2.428406239e+00;2.833737850e+00;2.914804459e+00;1.155629253e+01;1.398475838e+01;1.451520538e+01;1.461709023e+01;1.463458633e+01;7.619377971e-01;9.481170386e+00;9.549045870e+04;4.216703480e+01
2021-03-15T12:38:07;1.093055606e+00;1.624339104e+00;2.003484249e+00;2.079312325e+00;6.579696178e+00;8.213068008e+00;8.693096161e+00;8.786378860e+00;8.801547050e+00;7.579976916e-01;9.728668795e+00;9.548130359e+04;3.883610004e+01
2021-03-15T12:43:07;1.570559502e+00;2.819847584e+00;3.757881165e+00;3.945488691e+00;8.442608833e+00;1.130143642e+01;1.245915222e+01;1.268619633e+01;1.272150612e+01;8.554866910e-01;9.868406569e+00;9.547141592e+04;4.345511693e+01
2021-03-15T12:48:07;8.979645967e-01;9.495635033e-01;9.495620131e-01;9.495620131e-01;6.206434727e+00;7.142825603e+00;7.166516304e+00;7.169480324e+00;7.171236992e+00;5.526694059e-01;9.811488182e+00;9.546869083e+04;3.731247020e+01
2021-03-15T12:53:07;1.210188627e+00;2.233858347e+00;3.006054401e+00;3.160494328e+00;6.378372192e+00;8.645533562e+00;9.596390724e+00;9.783021927e+00;9.811926842e+00;1.040822506e+00;9.506751585e+00;9.546862524e+04;3.445723008e+01
2021-03-15T12:58:07;1.129590750e+00;1.590244770e+00;1.910528183e+00;1.974584460e+00;6.983603001e+00;8.578453064e+00;8.989398956e+00;9.068880081e+00;9.082097054e+00;7.069395781e-01;9.281637281e+00;9.546641013e+04;3.480582590e+01
2021-03-15T13:03:07;1.430735350e+00;1.722778320e+00;1.892594934e+00;1.926558971e+00;9.452004433e+00;1.116502094e+01;1.140485573e+01;1.144974327e+01;1.145837879e+01;6.947304010e-01;9.343991329e+00;9.546451111e+04;3.567065688e+01
2021-03-15T13:08:07;1.618961573e+00;2.502733707e+00;3.142696857e+00;3.270689726e+00;9.543770790e+00;1.206506729e+01;1.286935043e+01;1.302605629e+01;1.305121613e+01;8.710355759e-01;9.618349652e+00;9.546041148e+04;3.928598646e+01
2021-03-15T13:13:07;1.237413168e+00;1.972957492e+00;2.510701656e+00;2.618249893e+00;7.169538498e+00;9.159898758e+00;9.832470894e+00;9.963740349e+00;9.984642029e+00;8.222984076e-01;9.678465574e+00;9.546590061e+04;3.735342349e+01
2021-03-15T13:18:07;1.482068300e+00;1.871474624e+00;2.117704391e+00;2.166950464e+00;9.610273361e+00;1.147628784e+01;1.180840778e+01;1.187153721e+01;1.188289833e+01;6.835391521e-01;9.726750200e+00;9.545347539e+04;3.869188101e+01
2021-03-15T13:23:07;1.622702122e+00;2.285693407e+00;2.746798754e+00;2.839020967e+00;1.002963543e+01;1.232201099e+01;1.291354942e+01;1.302796555e+01;1.304698658e+01;8.288264275e-01;9.685180653e+00;9.546212830e+04;3.917643179e+01
