Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xb2881e43
SPS30 serial number: AFD8C4D630E0E33E
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:39;1.119896412e+00;1.279128194e+00;1.355916619e+00;1.371273994e+00;7.698638439e+00;8.817749977e+00;8.931562424e+00;8.953315735e+00;8.957643509e+00;6.491647959e-01;1.471027748e+01;9.551169913e+04;2.923829342e+01
2021-03-15T10:32:39;1.180282235e+00;1.685868144e+00;2.040160179e+00;2.111017466e+00;7.343869209e+00;8.939040184e+00;9.391232491e+00;9.480038643e+00;9.493830681e+00;7.135568261e-01;1.338835400e+01;9.550880328e+04;2.957665589e+01
2021-03-15T10:37:39;1.181071520e+00;1.709538579e+00;2.082312346e+00;2.156866550e+00;7.297397137e+00;8.921380043e+00;9.396049500e+00;9.489312172e+00;9.503728867e+00;7.784239054e-01;1.237448640e+01;9.550186191e+04;3.152991825e+01
2021-03-15T10:42:39;1.297850490e+00;1.509414196e+00;1.620279789e+00;1.642451882e+00;8.860359192e+00;1.019056797e+01;1.034905243e+01;1.037953472e+01;1.038528824e+01;5.946145058e-01;1.136511767e+01;9.549433883e+04;3.463674129e+01
2021-03-15T10:47:39;1.228247881e+00;1.622092485e+00;1.883718610e+00;1.936042905e+00;7.943846703e+00;9.441026688e+00;9.781471252e+00;9.848085403e+00;9.858821869e+00;6.292175055e-01;1.046986928e+01;9.548984160e+04;3.321096638e+01
2021-03-15T10:52:39;1.221974850e+00;1.292192221e+00;1.292192221e+00;1.292191505e+00;8.636342049e+00;9.730041504e+00;9.752391815e+00;9.755936623e+00;9.757829666e+00;4.690954685e-01;1.011279810e+01;9.549429412e+04;3.426857315e+01
2021-03-15T10:57:39;1.399274230e+00;1.633509278e+00;1.758007526e+00;1.782906294e+00;9.538781166e+00;1.098049736e+01;1.115740490e+01;1.119146729e+01;1.119783783e+01;5.596619844e-01;1.018459686e+01;9.549392768e+04;3.433017871e+01
2021-03-15T11:02:39;1.329738259e+00;1.764001489e+00;2.053620577e+00;2.111543179e+00;8.582296371e+00;1.021288204e+01;1.058920574e+01;1.066285896e+01;1.067469978e+01;6.861453652e-01;9.927211395e+00;9.549009317e+04;3.695194298e+01
2021-03-15T11:07:39;1.617244363e+00;2.469543695e+00;3.084116220e+00;3.207030058e+00;9.699069977e+00;1.208115387e+01;1.285768318e+01;1.301048470e+01;1.303374100e+01;7.994800806e-01;1.008074510e+01;9.548299967e+04;3.649317590e+01
2021-03-15T11:12:39;1.578613400e+00;2.235527277e+00;2.693768740e+00;2.785415649e+00;9.866331100e+00;1.197609711e+01;1.256191444e+01;1.267692757e+01;1.269484615e+01;8.203337193e-01;9.796435500e+00;9.548507888e+04;3.500136218e+01
