Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xc09c6a7a
SPS30 serial number: E9DEFAD71B7FAF3F
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:35;1.761715770e+00;1.862948179e+00;1.862947106e+00;1.862947106e+00;1.216880131e+01;1.401015282e+01;1.405998230e+01;1.406629467e+01;1.406952667e+01;4.614458084e-01;1.421270875e+01;9.558375827e+04;2.345728149e+01
2021-03-15T10:33:35;9.694737196e-01;1.151799560e+00;1.254273295e+00;1.274768114e+00;6.420181751e+00;7.572764397e+00;7.729000092e+00;7.758614063e+00;7.764022827e+00;6.362106204e-01;1.343157428e+01;9.557701104e+04;2.404028775e+01
2021-03-15T10:38:35;1.215300322e+00;1.916307807e+00;2.427129269e+00;2.529294014e+00;7.017091751e+00;8.981651306e+00;9.658150673e+00;9.792809486e+00;9.813137054e+00;6.425190568e-01;1.234566489e+01;9.557990693e+04;2.531725556e+01
2021-03-15T10:43:35;1.009752393e+00;1.467856526e+00;1.791650414e+00;1.856409788e+00;6.101616383e+00;7.597122669e+00;8.032706261e+00;8.118920326e+00;8.132245064e+00;6.301537752e-01;1.188242422e+01;9.556695160e+04;2.554134705e+01
2021-03-15T10:48:35;1.191349745e+00;1.259807587e+00;1.259806752e+00;1.259806752e+00;8.229079247e+00;9.474282265e+00;9.507978439e+00;9.512247086e+00;9.514432907e+00;4.262179136e-01;1.108789217e+01;9.556407933e+04;2.689331059e+01
2021-03-15T10:53:35;1.363029242e+00;1.441352129e+00;1.441351295e+00;1.441351295e+00;9.414930344e+00;1.083957291e+01;1.087812614e+01;1.088300991e+01;1.088551044e+01;4.535650015e-01;1.091186290e+01;9.556455156e+04;2.843806441e+01
2021-03-15T10:58:35;2.169841290e+00;2.644160748e+00;2.927127838e+00;2.983719587e+00;1.422485447e+01;1.687739944e+01;1.729447365e+01;1.737442780e+01;1.738843536e+01;6.015115976e-01;1.066555029e+01;9.556566931e+04;2.908036618e+01
2021-03-15T11:03:35;1.597855449e+00;1.771305203e+00;1.837371111e+00;1.850584745e+00;1.085880947e+01;1.261869431e+01;1.274693775e+01;1.276951504e+01;1.277478790e+01;5.307047367e-01;1.059207195e+01;9.555915513e+04;3.102420429e+01
2021-03-15T11:08:34;1.451744199e+00;1.535164833e+00;1.535163999e+00;1.535163999e+00;1.002771664e+01;1.154508495e+01;1.158614731e+01;1.159134865e+01;1.159401131e+01;5.031789541e-01;1.034959386e+01;9.555533030e+04;3.084973429e+01
2021-03-15T11:13:35;1.579233408e+00;1.669979811e+00;1.669978857e+00;1.669978857e+00;1.090832996e+01;1.255895042e+01;1.260361862e+01;1.260927582e+01;1.261217308e+01;3.573318720e-01;1.002405447e+01;9.555220820e+04;3.033073939e+01
2021-03-15T11:18:34;1.438232541e+00;2.068663597e+00;2.511997700e+00;2.600665092e+00;8.738943100e+00;1.084478092e+01;1.144275188e+01;1.156099415e+01;1.157933998e+01;7.843201756e-01;9.523448123e+00;9.555427471e+04;2.896840743e+01
2021-03-15T11:23:34;1.276888371e+00;1.350261450e+00;1.350260615e+00;1.350260615e+00;8.819925308e+00;1.015453339e+01;1.019064999e+01;1.019522476e+01;1.019756699e+01;4.735615253e-01;9.283848115e+00;9.555696788e+04;2.907772695e+01
2021-03-15T11:28:34;1.487288594e+00;1.693490267e+00;1.791205049e+00;1.810749054e+00;1.000974369e+01;1.169708157e+01;1.186198235e+01;1.189223766e+01;1.189842892e+01;5.838053226e-01;9.089932309e+00;9.556046273e+04;2.975621259e+01
2021-03-15T11:33:34;1.523199797e+00;1.740975142e+00;1.846387029e+00;1.867470026e+00;1.023704338e+01;1.197237682e+01;1.214796734e+01;1.218031406e+01;1.218684387e+01;5.941119194e-01;8.938825226e+00;9.555929426e+04;2.976518090e+01
2021-03-15T11:38:34;1.476113677e+00;1.725577712e+00;1.858826399e+00;1.885475755e+00;9.836741447e+00;1.156069756e+01;1.176994801e+01;1.180922699e+01;1.181665516e+01;5.190818310e-01;8.740757129e+00;9.556905071e+04;2.987297267e+01
2021-03-15T11:43:34;2.012797594e+00;2.128457785e+00;2.128456593e+00;2.128456593e+00;1.390311432e+01;1.600689697e+01;1.606382751e+01;1.607103920e+01;1.607473183e+01;5.109716654e-01;8.702101955e+00;9.555803639e+04;3.175520121e+01
2021-03-15T11:48:34;1.847020507e+00;1.953154683e+00;1.953153491e+00;1.953153491e+00;1.275803185e+01;1.468854332e+01;1.474078560e+01;1.474740314e+01;1.475079155e+01;4.487442970e-01;8.935311110e+00;9.555841041e+04;3.045620099e+01
2021-03-15T11:53:34;1.513657093e+00;1.600635409e+00;1.600634575e+00;1.600634575e+00;1.045537186e+01;1.203745079e+01;1.208026409e+01;1.208568764e+01;1.208846474e+01;4.543148279e-01;8.978119432e+00;9.555279306e+04;3.023079875e+01
2021-03-15T11:58:34;1.908713937e+00;2.140709877e+00;2.239701271e+00;2.259500027e+00;1.291723633e+01;1.504678631e+01;1.522521210e+01;1.525730228e+01;1.526431084e+01;5.131752491e-01;9.137532691e+00;9.554220762e+04;3.133915806e+01
2021-03-15T12:03:34;1.426094055e+00;1.508040786e+00;1.508039951e+00;1.508039951e+00;9.850542068e+00;1.134110069e+01;1.138143730e+01;1.138654613e+01;1.138916302e+01;3.845089674e-01;8.929880205e+00;9.554332226e+04;2.927587359e+01
2021-03-15T12:08:34;1.770020366e+00;2.341499567e+00;2.721692801e+00;2.797730684e+00;1.120097637e+01;1.356777859e+01;1.409576416e+01;1.419908810e+01;1.421580505e+01;5.638309717e-01;9.204939985e+00;9.553178043e+04;3.274298341e+01
2021-03-15T12:13:34;1.635976195e+00;1.729983211e+00;1.729982257e+00;1.729982257e+00;1.130027294e+01;1.301020145e+01;1.305647373e+01;1.306233501e+01;1.306533623e+01;3.727054596e-01;9.235608724e+00;9.552826466e+04;3.155629718e+01
2021-03-15T12:18:34;1.335935593e+00;1.412701607e+00;1.412700891e+00;1.412700891e+00;9.227785110e+00;1.062411022e+01;1.066189671e+01;1.066668320e+01;1.066913319e+01;4.095960855e-01;9.247428969e+00;9.552188989e+04;3.216080384e+01
2021-03-15T12:23:34;1.756859541e+00;1.857812881e+00;1.857811809e+00;1.857811809e+00;1.213525772e+01;1.397153282e+01;1.402122593e+01;1.402752018e+01;1.403074265e+01;4.774932861e-01;9.493737688e+00;9.551135221e+04;3.607277624e+01
2021-03-15T12:28:34;1.194576502e+00;1.482582927e+00;1.660117269e+00;1.695625663e+00;7.772645950e+00;9.262532234e+00;9.519491196e+00;9.569057465e+00;9.577539444e+00;5.157526731e-01;9.439108847e+00;9.550606414e+04;2.725151326e+01
2021-03-15T12:33:34;2.075961351e+00;2.510055065e+00;2.764832735e+00;2.815787792e+00;1.365240383e+01;1.616850662e+01;1.654749107e+01;1.661991882e+01;1.663275528e+01;6.578115821e-01;9.812566319e+00;9.551138694e+04;3.368530464e+01
2021-03-15T12:38:34;1.472521424e+00;1.557136059e+00;1.557135105e+00;1.557135105e+00;1.017123222e+01;1.171031666e+01;1.175196648e+01;1.175724220e+01;1.175994396e+01;3.645639420e-01;1.010488014e+01;9.549320210e+04;3.157010405e+01
2021-03-15T12:43:34;1.015465140e+00;1.226370692e+00;1.349835277e+00;1.374528885e+00;6.681258202e+00;7.910443306e+00;8.094367027e+00;8.129500389e+00;8.135737419e+00;5.332287550e-01;9.923741298e+00;9.548783341e+04;2.601934170e+01
2021-03-15T12:48:34;1.660431743e+00;1.755844116e+00;1.755843043e+00;1.755843043e+00;1.146919632e+01;1.320468521e+01;1.325164986e+01;1.325759888e+01;1.326064491e+01;4.647167921e-01;9.780938979e+00;9.548968479e+04;2.817744655e+01
2021-03-15T12:53:34;1.420608163e+00;1.502239704e+00;1.502238750e+00;1.502238750e+00;9.812648773e+00;1.129747295e+01;1.133765507e+01;1.134274483e+01;1.134535027e+01;4.511746168e-01;9.702988816e+00;9.548810932e+04;2.656304115e+01
2021-03-15T12:58:34;1.846448064e+00;3.178615570e+00;4.170896053e+00;4.369351864e+00;1.007841110e+01;1.335705948e+01;1.465662670e+01;1.491636181e+01;1.495490456e+01;9.006928205e-01;9.489904084e+00;9.548505262e+04;2.784439876e+01
2021-03-15T13:03:34;1.307438493e+00;1.382567048e+00;1.382566214e+00;1.382566214e+00;9.030945778e+00;1.039748478e+01;1.043446541e+01;1.043914986e+01;1.044154835e+01;4.144695997e-01;9.624080318e+00;9.548346537e+04;2.859106021e+01
2021-03-15T13:08:34;1.480458617e+00;1.668430448e+00;1.751709819e+00;1.768366814e+00;1.000149441e+01;1.166207123e+01;1.180863190e+01;1.183517933e+01;1.184084702e+01;5.191793442e-01;9.872945816e+00;9.547489272e+04;2.990101952e+01
2021-03-15T13:13:34;1.566692591e+00;1.817900181e+00;1.948346734e+00;1.974436879e+00;1.046995640e+01;1.228477764e+01;1.249306774e+01;1.253195667e+01;1.253945255e+01;5.775051117e-01;9.872626348e+00;9.547871337e+04;3.081268669e+01
2021-03-15T13:18:34;9.439246058e-01;9.981647730e-01;9.981641769e-01;9.981641769e-01;6.520025253e+00;7.506618500e+00;7.533317089e+00;7.536698818e+00;7.538430691e+00;4.932082891e-01;9.948659847e+00;9.547482532e+04;3.075352769e+01
2021-03-15T13:23:34;1.384823084e+00;1.464398265e+00;1.464397430e+00;1.464397430e+00;9.565467834e+00;1.101288986e+01;1.105205917e+01;1.105702114e+01;1.105956173e+01;4.992129803e-01;9.916074054e+00;9.548419336e+04;3.084647312e+01
2021-03-15T13:28:34;1.040993929e+00;1.100811839e+00;1.100811243e+00;1.100811243e+00;7.190517426e+00;8.278568268e+00;8.308012009e+00;8.311741829e+00;8.313651085e+00;4.315357208e-01;9.819275150e+00;9.547281068e+04;3.145971715e+01
2021-03-15T13:33:34;8.724462390e-01;1.263041139e+00;1.538584352e+00;1.593692660e+00;5.283301353e+00;6.569710732e+00;6.940757751e+00;7.014171600e+00;7.025534153e+00;5.995507240e-01;9.785092063e+00;9.547416179e+04;3.315538809e+01
2021-03-15T13:38:34;1.710636139e+00;1.808933377e+00;1.808932304e+00;1.808932304e+00;1.181597614e+01;1.360393906e+01;1.365232372e+01;1.365845203e+01;1.366159058e+01;4.960918427e-01;9.675195126e+00;9.547913199e+04;3.109900084e+01
2021-03-15T13:43:34;1.826617360e+00;3.320921183e+00;4.445344448e+00;4.670228958e+00;9.585113525e+00;1.302264786e+01;1.448776150e+01;1.478113365e+01;1.482432175e+01;9.255169034e-01;9.655707602e+00;9.547750784e+04;3.059192358e+01
